                  playlist_id                  |                                                                                                                                     quiz_prepost                                                                                                                                      
                                               | Prioritas utama yang harus ditentukan oleh social enterprise dalam menangani masalah sosial adalah...                                                                                                                                                                                +
                                               | A. Mengidentifikasi solusi inovatif                                                                                                                                                                                                                                                  +
                                               | B. Menyusun rencana komunikasi publik                                                                                                                                                                                                                                                +
                                               | C. Memahami akar penyebab masalah                                                                                                                                                                                                                                                    +
                                               | D. Mencari kerjasama dengan pemerintah                                                                                                                                                                                                                                               +
                                               | ANSWER: C                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Bagaimana social enterprise dapat memastikan bahwa tindakan mereka memiliki dampak positif bagi stakeholder?                                                                                                                                                                         +
                                               | A. Dengan tidak peduli tentang pendapat masyarakat                                                                                                                                                                                                                                   +
                                               | B. Melalui penentuan prosedur kerja yang tepat dan efektif                                                                                                                                                                                                                           +
                                               | C. Mengandalkan sumber daya internal saja tanpa kemitraan eksternal                                                                                                                                                                                                                  +
                                               | D. Menjalankan program tanpa evaluasi terlebih dahulu                                                                                                                                                                                                                                +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Berdasarkan video, mengapa pemahaman tentang akar penyebab masalah penting bagi social enterprise sebelum mencari solusi?                                                                                                                                                            +
                                               | A. Agar dapat menentukan biaya yang diperlukan                                                                                                                                                                                                                                       +
                                               | B. Untuk memastikan bahwa solusi yang diusulkan berkelanjutan dan tepat sasaran                                                                                                                                                                                                      +
                                               | C. Sebagai syarat untuk mendapatkan dukungan dari pihak ketiga                                                                                                                                                                                                                       +
                                               | D. Menghindari kerjasama dengan organisasi lain                                                                                                                                                                                                                                      +
                                               | ANSWER: B                                                                                                                                                                                                                                                                            +
                                               |                                                                                                                                                                                                                                                                                      +
                                               | Pentingnya pemahaman masalah sosial dalam menjadi social entrepreneur adalah untuk:                                                                                                                                                                                                  +
                                               | A. Meningkatkan profit perusahaan                                                                                                                                                                                                                                                    +
                                               | B. Menentukan solusi yang tepat bagi masyarakat                                                                                                                                                                                                                                      +
